x,y,type
116,53,3
109,108,1
117,105,1
114,41,3
76,92,2
119,42,3
114,49,3
104,86,1
70,82,2
140,60,3
70,90,2
117,57,3
114,55,3
130,50,3
61,64,2
51,16,0
112,110,1
127,56,3
127,47,3
122,44,3
125,48,3
127,45,3
65,72,2
147,50,3
120,50,3
123,48,3
104,44,3
143,51,3
161,49,5
81,99,2
117,52,3
131,50,3
145,89,0
65,68,2
125,49,3
107,51,3
104,37,3
126,81,0
69,93,2
72,43,0
129,50,3
143,57,3
130,45,3
78,67,2
135,48,3
103,48,3
125,58,3
127,44,3
64,95,2
132,51,3
131,53,3
124,49,3
131,57,3
129,52,3
136,62,3
53,62,2
75,94,2
58,60,2
125,50,3
84,98,2
120,57,3
154,50,3
70,58,2
63,19,0
114,51,3
125,52,3
131,50,3
182,45,5
117,48,3
72,69,2
131,52,3
110,48,3
75,91,2
140,54,3
73,102,2
106,83,1
127,64,3
121,54,3
147,51,3
121,52,3
110,54,3
48,17,0
109,45,3
115,51,3
135,53,3
116,103,1
133,46,3
77,66,2
127,47,3
122,127,1
121,55,3
147,55,3
121,113,1
77,96,2
131,57,3
119,49,3
128,53,3
125,54,3
116,52,3
111,86,1
169,52,5
104,47,3
116,43,3
128,50,3
69,87,2
95,113,1
74,92,2
139,48,3
126,44,3
128,52,3
70,82,2
148,59,3
61,24,0
134,46,3
132,54,3
135,53,3
119,48,3
84,126,2
60,66,2
140,48,3
75,91,2
133,53,3
127,48,3
188,49,5
70,80,2
65,70,2
72,60,2
121,54,3
121,46,3
85,84,2
116,80,0
59,55,2
132,47,3
133,56,3
158,55,3
175,48,5
125,44,3
123,49,3
135,54,3
148,56,3
129,53,3
102,119,1
122,53,3
65,69,2
119,50,3
37,1,0
129,59,3
116,48,3
117,54,3
82,104,2
73,65,2
72,62,2
109,80,1
64,89,2
129,47,3
135,46,3
115,58,3
135,51,3
73,72,2
192,46,5
147,62,3
115,54,3
136,51,3
112,83,1
130,49,3
73,87,2
66,88,2
125,49,3
111,86,1
62,42,0
69,79,2
117,50,3
119,54,3
52,20,0
145,54,3
131,58,3
116,47,3
111,52,3
134,49,3
101,96,1
153,53,3
136,53,3
156,47,3
146,56,3
130,45,3
74,66,2
161,52,5
114,54,3
119,45,3
72,98,2
126,41,3
127,49,3
127,46,3
83,90,2
96,79,1
120,51,3
73,62,2
156,61,3
74,41,0
64,65,2
116,60,3
125,52,3
129,43,3
83,101,2
76,93,2
120,54,3
132,50,3
138,54,3
76,79,2
66,64,2
121,45,3
105,113,1
147,53,3
70,78,2
119,49,3
61,79,2
42,14,0
72,68,2
144,47,3
72,90,2
140,59,3
55,66,2
126,51,3
101,48,3
69,104,2
81,34,0
69,63,2
67,86,2
112,50,3
123,57,3
49,18,0
132,53,3
144,58,3
95,162,6
130,50,3
128,42,3
128,46,3
185,53,5
121,54,3
173,45,5
146,58,3
127,45,3
127,56,3
140,69,3
128,52,3
131,51,3
50,71,2
63,70,2
114,45,3
113,50,3
153,49,3
126,48,3
124,61,3
130,54,3
202,53,5
118,52,3
62,70,2
127,51,3
112,56,3
139,55,3
130,46,3
123,43,3
159,44,5
78,90,2
103,50,3
122,54,3
119,50,3
115,42,3
137,52,3
107,111,1
129,58,3
141,57,3
147,53,3
68,86,2
108,110,1
140,49,3
146,56,3
125,50,3
120,48,3
119,50,3
114,113,1
137,52,3
134,48,3
136,49,3
130,58,3
63,65,2
72,98,2
146,51,3
128,47,3
120,55,3
109,47,3
131,46,3
74,84,2
132,55,3
134,59,3
126,56,3
63,80,2
68,71,2
66,74,2
108,50,3
95,103,1
170,45,5
127,50,3
60,69,2
177,48,5
127,48,3
187,38,5
109,47,3
63,74,2
73,79,2
72,80,2
124,51,3
135,59,3
126,55,3
138,53,3
39,10,0
185,58,5
64,67,2
58,56,2
162,32,5
124,50,3
74,91,2
124,50,3
118,42,3
112,50,3
128,46,3
135,52,3
100,95,1
116,50,3
106,113,1
136,49,3
69,72,2
104,102,1
137,55,3
131,50,3
74,99,2
133,57,3
128,48,3
128,47,3
122,54,3
118,47,3
139,51,3
69,81,2
165,41,5
159,54,3
115,113,1
75,67,2
112,51,3
135,56,3
69,90,2
104,47,3
69,88,2
64,65,2
125,53,3
40,1,0
72,70,2
167,44,5
129,53,3
126,50,3
122,54,3
55,63,2
130,51,3
162,49,5
127,52,3
84,88,2
107,77,1
114,52,3
120,50,3
70,70,2
120,41,3
70,78,2
178,45,5
108,51,3
81,73,2
145,54,3
101,44,3
133,48,3
117,57,3
134,59,3
25,2,0
98,54,3
72,73,2
117,42,3
129,59,3
100,79,1
144,61,3
147,58,3
151,45,3
61,71,2
61,74,2
71,66,2
114,50,3
72,67,2
128,55,3
129,58,3
108,50,3
123,53,3
70,47,0
181,49,5
132,49,3
99,118,1
172,52,5
121,55,3
143,48,3
137,55,3
135,55,3
109,114,1
125,122,1
104,111,1
67,79,2
112,49,3
127,52,3
109,107,1
90,82,2
124,40,3
65,82,2
66,91,2
60,70,2
173,55,5
173,46,5
74,74,2
71,78,2
140,60,3
116,104,1
47,12,0
60,69,2
132,44,3
130,45,3
80,81,2
81,78,2
68,68,2
136,61,3
118,94,1
163,43,5
76,82,2
123,50,3
120,50,3
109,81,1
123,43,3
142,61,3
134,58,3
122,60,3
104,94,1
122,54,3
78,91,2
137,65,3
131,46,3
135,56,3
68,83,2
112,47,3
122,57,3
96,98,1
123,56,3
68,67,2
113,43,3
67,93,2
113,45,3
119,54,3
137,53,3
73,71,2
124,51,3
75,65,2
50,10,0
125,61,3
153,54,3
135,53,3
118,54,3
43,47,2
134,53,3
115,133,1
101,44,3
132,55,3
58,11,0
132,46,3
63,73,2
65,79,2
130,47,3
124,52,3
126,56,3
116,119,1
133,57,3
121,49,3
60,84,2
145,53,3
67,94,2
116,106,1
124,44,3
128,50,3
139,42,3
117,52,3
139,47,3
126,47,3
134,52,3
137,55,3
118,49,3
25,16,0
112,112,1
64,91,2
65,78,2
99,66,3
21,0,0
102,112,1
102,114,1
153,55,3
92,120,2
134,53,3
120,50,3
54,69,2
133,49,3
125,46,3
131,56,3
46,62,2
123,54,3
113,104,1
84,78,2
123,58,3
124,59,3
123,50,3
112,45,3
129,50,3
74,65,2
124,54,3
103,115,1
113,59,3
118,43,3
128,57,3
75,92,2
120,56,3
113,51,3
65,71,2
133,46,3
75,50,0
132,57,3
135,53,3
67,59,2
96,99,1
69,72,2
112,49,3
132,60,3
122,50,3
73,71,2
131,51,3
149,52,3
177,50,5
125,51,3
